District,Number_of_Cases,Week_Start_Date,Year,Month,Week,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Max Wind Gusts (km/h),Avg Daylight Duration (hours)
Ampara,38,2010-02-15,2010,2,7,2010-02-22,28.9875,23.3875,33.9375,27.4125,15.0,14.2125,41.8,11.9145833333333
Ampara,18,2010-02-22,2010,2,8,2010-03-01,29.75,22.825,34.975,26.6375,0.0,13.175,35.6,11.9604166666667
Ampara,17,2010-03-01,2010,3,9,2010-03-08,30.75,23.4125,35.7875,27.2625,0.5,14.7625,36.0,12.00625
Ampara,14,2010-03-08,2010,3,10,2010-03-15,30.7,24.85,35.6375,29.5,5.6,15.2,42.8,12.05
Ampara,23,2010-03-15,2010,3,11,2010-03-22,31.0375,24.2375,36.4625,28.75,3.1,15.1375,41.0,12.1041666666667
Ampara,13,2010-03-22,2010,3,12,2010-03-29,31.8125,24.875,38.075,29.9625,20.3,12.0,34.2,12.1458333333333
Ampara,15,2010-03-29,2010,3,13,2010-04-05,32.1,25.5,39.2,30.9,12.1,11.45,31.3,12.1895833333333
Ampara,7,2010-04-05,2010,4,14,2010-04-12,31.075,25.6625,37.5,31.1125,17.8,11.225,33.8,12.2375
Ampara,5,2010-04-12,2010,4,15,2010-04-19,31.8,25.725,38.925,31.45,18.4,11.0625,33.5,12.2791666666667
Ampara,8,2010-04-19,2010,4,16,2010-04-26,32.0875,26.0,39.8375,31.35,21.8,11.075,31.3,12.3270833333333
Ampara,13,2010-04-26,2010,4,17,2010-05-03,31.45,25.55,38.825,31.0625,52.1,10.5125,32.0,12.36875
Ampara,6,2010-05-03,2010,5,18,2010-05-10,31.6,25.85,38.9875,31.5,29.9,10.9,31.0,12.4083333333333
Ampara,3,2010-05-10,2010,5,19,2010-05-17,31.9125,26.3375,39.2,32.15,11.0,10.9125,30.6,12.44375
Ampara,0,2010-05-17,2010,5,20,2010-05-24,31.85,26.125,37.2,30.125,31.8,18.6875,56.5,12.475
Ampara,3,2010-05-24,2010,5,21,2010-05-31,33.3,26.2875,40.775,31.3875,8.7,12.5125,34.9,12.5
Ampara,4,2010-05-31,2010,5,22,2010-06-07,33.7125,26.45,40.8625,31.5875,10.4,12.2875,38.9,12.5208333333333
Ampara,0,2010-06-07,2010,6,23,2010-06-14,32.6375,26.0625,38.325,30.55,36.5,13.3,46.1,12.5333333333333
Ampara,2,2010-06-14,2010,6,24,2010-06-21,32.225,25.875,38.55,30.3,50.8,15.175,43.2,12.54375
Ampara,4,2010-06-21,2010,6,25,2010-06-28,33.1625,25.8625,38.95,30.25,17.2,12.125,40.7,12.5458333333333
Ampara,1,2010-06-28,2010,6,26,2010-07-05,33.0875,25.7875,38.85,29.8625,16.9,12.5125,46.4,12.5375
Ampara,3,2010-07-05,2010,7,27,2010-07-12,31.7625,25.8375,37.025,30.375,13.8,13.9125,43.6,12.5229166666667
Ampara,5,2010-07-12,2010,7,28,2010-07-19,32.8125,25.525,38.2625,29.8,15.6,12.775,45.7,12.5083333333333
Ampara,9,2010-07-19,2010,7,29,2010-07-26,33.375,25.9875,38.3125,30.45,5.3,11.4875,45.7,12.4791666666667
Ampara,13,2010-07-26,2010,7,30,2010-08-02,34.45,25.825,39.425,30.275,5.5,11.95,47.5,12.4479166666667
Ampara,8,2010-08-02,2010,8,31,2010-08-09,34.3625,25.9125,40.025,30.05,7.8,10.925,41.8,12.4166666666667
Ampara,1,2010-08-09,2010,8,32,2010-08-16,32.675,26.25,39.45,31.4875,63.8,10.975,33.8,12.38125
Ampara,5,2010-08-16,2010,8,33,2010-08-23,31.4,25.35,37.3,30.05,46.8,8.3625,45.0,12.3395833333333
Ampara,5,2010-08-23,2010,8,34,2010-08-30,32.0,25.2875,38.0375,29.4375,21.0,10.875,38.9,12.2875
Ampara,5,2010-08-30,2010,8,35,2010-09-06,32.4125,25.15,38.7125,29.625,13.6,12.0875,36.7,12.2416666666667
Ampara,3,2010-09-06,2010,9,36,2010-09-13,31.6125,25.225,38.525,30.5,37.2,8.5625,32.4,12.2
Ampara,4,2010-09-13,2010,9,37,2010-09-20,32.0875,25.1375,38.9875,30.15,29.6,9.825,34.9,12.1541666666667
Ampara,1,2010-09-20,2010,9,38,2010-09-27,29.8,24.7875,35.9375,29.9125,43.6,9.05,31.7,12.1083333333333
Ampara,1,2010-09-27,2010,9,39,2010-10-04,29.7,24.325,35.875,29.175,107.2,9.5625,46.4,12.0604166666667
Ampara,3,2010-10-04,2010,10,40,2010-10-11,31.6125,25.0375,37.3875,29.6,12.7,11.5875,47.9,12.0166666666667
Ampara,2,2010-10-11,2010,10,41,2010-10-18,32.3875,23.7375,38.4625,27.85,5.1,8.375,33.8,11.9625
Ampara,2,2010-10-18,2010,10,42,2010-10-25,31.5625,24.55,38.2125,29.4875,12.0,11.625,34.6,11.91875
Ampara,4,2010-10-25,2010,10,43,2010-11-01,29.6625,24.1375,35.6625,29.125,69.5,9.675,33.8,11.8833333333333
Ampara,0,2010-11-01,2010,11,44,2010-11-08,29.4,24.1625,35.4875,29.0125,61.7,9.925,49.3,11.8458333333333
Ampara,6,2010-11-08,2010,11,45,2010-11-15,29.2625,23.8375,35.825,28.4625,34.0,9.4375,27.7,11.80625
Ampara,15,2010-11-15,2010,11,46,2010-11-22,28.325,23.4,33.8375,27.9875,109.3,10.5875,31.3,11.7729166666667
Ampara,2,2010-11-22,2010,11,47,2010-11-29,27.75,23.6125,33.05,27.9125,147.0,10.9375,31.7,11.75
Ampara,0,2010-11-29,2010,11,48,2010-12-06,27.1375,23.4375,31.4875,27.0,182.5,13.4625,51.5,11.7270833333333
Ampara,6,2010-12-06,2010,12,49,2010-12-13,28.4125,23.1375,33.85,27.375,60.8,9.35,36.7,11.7083333333333
Ampara,4,2010-12-13,2010,12,50,2010-12-20,27.8375,22.9125,32.65,27.0,14.7,12.6,39.2,11.7
Ampara,1,2010-12-20,2010,12,51,2010-12-27,25.15,22.6875,28.925,25.725,171.4,16.05,42.5,11.7
Ampara,2,2010-12-27,2010,12,52,2011-01-03,25.6875,22.45,29.1375,25.225,187.4,16.4875,48.2,11.7041666666667
Ampara,4,2011-01-03,2011,1,1,2011-01-10,25.8375,22.9,29.7375,25.7,234.2,17.4875,48.2,11.71875
