District,Number_of_Cases,Week_Start_Date,Month,Year,Week,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Total Rain (mm),Avg Wind Speed (km/h),Max Wind Gusts (km/h),Weather Code,Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
Ampara,2,2008-01-28,1,2008,5,2008-02-04,28.725,22.9,33.275,26.9,4.1,4.1,13.9125,40.3,2,11.80625,382,1090
Ampara,3,2008-02-04,2,2008,6,2008-02-11,27.9,23.225,32.8375,27.7125,60.2,60.2,12.9375,40.3,51,11.8479166666667,381,1092
Ampara,2,2008-02-11,2,2008,7,2008-02-18,27.925,23.2,33.025,27.4875,16.6,16.6,13.9375,40.3,51,11.8875,380,1093
Ampara,0,2008-02-18,2,2008,8,2008-02-25,27.9375,21.8375,32.2125,24.9125,5.7,5.7,14.0375,40,51,11.9291666666667,378,1094
Ampara,0,2008-02-25,2,2008,9,2008-03-03,27.7,21.95,32.7875,25.375,45.3,45.3,12.25,35.6,61,11.98125,376,1095
Ampara,1,2008-03-03,3,2008,10,2008-03-10,27.3125,22.9625,32.0125,27.0125,90.7,90.7,13.6875,38.9,63,12.0229166666667,373,1094
Ampara,1,2008-03-10,3,2008,11,2008-03-17,27.4875,23.25,33.1,27.6125,175.9,175.9,11.175,31.3,63,12.0666666666667,370,1094
Ampara,0,2008-03-17,3,2008,12,2008-03-24,28.7,23.8375,33.65,27.7375,50.1,50.1,15.5125,45.7,51,12.1166666666667,366,1093
Ampara,4,2008-03-24,3,2008,13,2008-03-31,29.8125,23.8125,36.725,28.8625,20.5,20.5,8.9375,25.9,51,12.1645833333333,363,1092
Ampara,1,2008-03-31,3,2008,14,2008-04-07,29.6625,23.8125,36.4875,28.6375,26.1,26.1,10.475,32.4,61,12.2083333333333,359,1092
Ampara,1,2008-04-07,4,2008,15,2008-04-14,28.7875,23.7625,34.7625,28.4875,66.8,66.8,9.9625,32.4,63,12.25625,356,1091
Ampara,4,2008-04-14,4,2008,16,2008-04-21,30.625,24.05,37.9,29.05,8,8,10.0125,27.7,1,12.2958333333333,353,1091
Ampara,1,2008-04-21,4,2008,17,2008-04-28,30.6625,24.6,37.3875,29.7875,24.4,24.4,9.675,25.9,3,12.3416666666667,350,1091
Ampara,1,2008-04-28,4,2008,18,2008-05-05,32.125,25.55,38.625,29.75,2.5,2.5,15.4125,38.5,2,12.38125,348,1091
Ampara,1,2008-05-05,5,2008,19,2008-05-12,32.6375,25.25,39.375,29.9625,4.7,4.7,15.05,47.2,53,12.425,346,1092
Ampara,1,2008-05-12,5,2008,20,2008-05-19,33.6,25.725,40.225,30.0625,7.9,7.9,12.8625,36.7,51,12.45625,345,1092
Ampara,0,2008-05-19,5,2008,21,2008-05-26,32.8125,25.875,39.4,30.5375,9.8,9.8,13.0875,37.8,61,12.4854166666667,345,1094
Ampara,0,2008-05-26,5,2008,22,2008-06-02,32.3875,25.2375,38.8625,29.575,33.3,33.3,12.125,37.1,63,12.5083333333333,345,1095
Ampara,2,2008-06-02,6,2008,23,2008-06-09,31.425,25.325,37.9125,30.8,55.8,55.8,9.3625,49.7,53,12.5291666666667,345,1097
Ampara,3,2008-06-09,6,2008,24,2008-06-16,31.825,25.125,37.275,29.7125,9.2,9.2,12.25,36,1,12.5416666666667,346,1099
Ampara,5,2008-06-16,6,2008,25,2008-06-23,32.925,25.3625,38.2875,29,16,16,16.0875,45,55,12.54375,347,1100
Ampara,0,2008-06-23,6,2008,26,2008-06-30,33.1375,25.2625,38.375,28.925,5.7,5.7,13.7875,45,61,12.54375,349,1102
Ampara,2,2008-06-30,6,2008,27,2008-07-07,33.2,25.4625,38.675,29.7125,9.9,9.9,15.8,46.8,53,12.5333333333333,351,1103
Ampara,2,2008-07-07,7,2008,28,2008-07-14,33.5875,25.25,39.3,29.25,10.9,10.9,12.7625,43.2,51,12.5208333333333,352,1103
Ampara,0,2008-07-14,7,2008,29,2008-07-21,31.8875,25.075,37.825,29.3,28.6,28.6,13.975,43.2,63,12.5,354,1104
Ampara,0,2008-07-21,7,2008,30,2008-07-28,32.3625,24.925,37.5125,29.05,12.2,12.2,12.1625,56.5,61,12.4666666666667,355,1103
Ampara,1,2008-07-28,7,2008,31,2008-08-04,33.0375,25.2625,38.35,29.5,11.9,11.9,12.675,56.5,51,12.4354166666667,356,1102
Ampara,1,2008-08-04,8,2008,32,2008-08-11,33.8625,25.2875,38.85,28.625,2.4,2.4,15.575,48.6,1,12.40625,356,1100
Ampara,1,2008-08-11,8,2008,33,2008-08-18,32.525,25.2125,38.35,29.2375,26.4,26.4,14.4625,44.6,63,12.3666666666667,356,1098
Ampara,0,2008-08-18,8,2008,34,2008-08-25,32.45,24.9625,38.25,29.2375,16.5,16.5,14.7125,43.6,63,12.3208333333333,356,1095
Ampara,0,2008-08-25,8,2008,35,2008-09-01,30.1375,24.2125,36.4,28.9125,70.6,70.6,12.7375,40.7,63,12.275,355,1092
Ampara,1,2008-09-01,9,2008,36,2008-09-08,30.525,24.4125,37.4375,29.5125,38.5,38.5,9.05,34.2,61,12.2291666666667,354,1088
Ampara,0,2008-09-08,9,2008,37,2008-09-15,32.2625,25,38.3125,29.2,11.7,11.7,11.3125,41,51,12.1833333333333,353,1084
Ampara,1,2008-09-15,9,2008,38,2008-09-22,33.1875,24.825,38.925,28.8625,0.5,0.5,15.9125,42.5,1,12.1395833333333,352,1080
Ampara,0,2008-09-22,9,2008,39,2008-09-29,32.9875,25.3,38.9625,29.55,5.6,5.6,15.3875,42.5,1,12.0916666666667,351,1076
Ampara,0,2008-09-29,9,2008,40,2008-10-06,31.7875,24.975,38.0875,29.9,20.2,20.2,13.225,36.7,1,12.0416666666667,350,1073
Ampara,0,2008-10-06,10,2008,41,2008-10-13,30.1625,24.3375,35.4625,29.15,33.4,33.4,12.5875,38.9,51,11.9979166666667,350,1069
Ampara,0,2008-10-13,10,2008,42,2008-10-20,28.725,24,34.3625,29.075,71.3,71.3,11.3625,32.4,63,11.95625,349,1066
Ampara,1,2008-10-20,10,2008,43,2008-10-27,30.025,24.7375,35.825,28.5375,48.3,48.3,14.05,50.8,61,11.9083333333333,349,1064
Ampara,2,2008-10-27,10,2008,44,2008-11-03,30.075,23.6625,35.1375,27.8875,6.1,6.1,11.7125,28.8,51,11.8708333333333,350,1062
Ampara,0,2008-11-03,11,2008,45,2008-11-10,29.7125,23.6125,34.675,27.825,14.7,14.7,13.6125,38.5,51,11.83125,351,1061
Ampara,0,2008-11-10,11,2008,46,2008-11-17,28.6875,23.7,33.275,27.7,42.7,42.7,14.375,41.8,61,11.7979166666667,353,1061
Ampara,1,2008-11-17,11,2008,47,2008-11-24,27.6875,23.9375,32.8375,28.6625,89.5,89.5,11.6125,41,61,11.7645833333333,355,1061
Ampara,0,2008-11-24,11,2008,48,2008-12-01,28.95,23.9375,33.6875,28,55.5,55.5,15.4,43.9,61,11.7375,358,1062
Ampara,0,2008-12-01,12,2008,49,2008-12-08,27.2125,23.35,31.7625,26.925,52.5,52.5,14.6375,38.5,51,11.7229166666667,361,1064
Ampara,0,2008-12-08,12,2008,50,2008-12-15,27.525,23.1125,32.25,27.2875,41.7,41.7,12.4625,35.6,63,11.7083333333333,365,1067
Ampara,0,2008-12-15,12,2008,51,2008-12-22,26.8625,23.25,30.75,26.775,141.5,141.5,15.8625,40.7,51,11.7020833333333,368,1070
Ampara,0,2008-12-22,12,2008,52,2008-12-29,27.1875,22.7125,30.4375,25.85,11.2,11.2,17.2125,41.4,51,11.7,372,1074
Ampara,1,2008-12-29,12,2008,1,2009-01-05,27.325,22.225,29.2875,24.6875,2.2,2.2,17.825,43.6,3,11.7083333333333,375,1077
Ampara,0,2009-01-05,1,2009,2,2009-01-12,26.4875,22.925,29.9125,26.0875,82.5,82.5,16.3625,40.3,51,11.7270833333333,377,1081
Ampara,3,2009-01-12,1,2009,3,2009-01-19,27.025,22.95,29.0125,25.4,10.4,10.4,19.9375,45.7,51,11.74375,379,1084
Ampara,11,2009-01-19,1,2009,4,2009-01-26,26.925,22.35,29.25,25,84.6,84.6,16.55,43.2,3,11.775,381,1087
Ampara,14,2009-01-26,1,2009,5,2009-02-02,27.6875,21.2,32.075,24.3125,7.2,7.2,14.225,37.8,2,11.8020833333333,382,1090
Ampara,9,2009-02-02,2,2009,6,2009-02-09,27.5625,20.6375,30,22.85,0,0,15.4375,38.9,2,11.8416666666667,381,1092
Ampara,13,2009-02-09,2,2009,7,2009-02-16,28.5125,21.15,31.75,23.775,1.6,1.6,15.725,36,51,11.88125,380,1093
Ampara,2,2009-02-16,2,2009,8,2009-02-23,28.4,22.775,32.25,26.3625,15.2,15.2,17.075,43.6,51,11.9208333333333,378,1094
Ampara,3,2009-02-23,2,2009,9,2009-03-02,30.475,22.45,36.05,26.5375,4.8,4.8,13.0125,35.3,2,11.9729166666667,376,1094
Ampara,14,2009-03-02,3,2009,10,2009-03-09,30.525,21.75,34.9,24.975,67.7,67.7,14.725,48.6,1,12.0145833333333,373,1094
Ampara,2,2009-03-09,3,2009,11,2009-03-16,29.05,23.6625,34.95,28.2375,65.8,65.8,12.7875,48.6,51,12.0583333333333,370,1094
Ampara,0,2009-03-16,3,2009,12,2009-03-23,29.825,23.975,36.325,29.1,6.5,6.5,11.2,33.8,51,12.1104166666667,367,1093
Ampara,1,2009-03-23,3,2009,13,2009-03-30,29.725,24.1875,36.4,29.275,20.1,20.1,11.325,33.8,51,12.1583333333333,363,1093
Ampara,2,2009-03-30,3,2009,14,2009-04-06,29.8,24.25,36.1875,29.4625,20.9,20.9,11.6875,37.8,53,12.2020833333333,360,1092
Ampara,0,2009-04-06,4,2009,15,2009-04-13,29.525,24.225,35.9875,29.15,66.5,66.5,10.775,34.6,61,12.2479166666667,356,1091
Ampara,3,2009-04-13,4,2009,16,2009-04-20,32.1,25.05,38.8,30,20.6,20.6,12.7375,36.4,2,12.2895833333333,353,1091
Ampara,9,2009-04-20,4,2009,17,2009-04-27,31.6,25.6125,38.7625,30.6625,6.3,6.3,11.7375,31,51,12.3354166666667,350,1091
Ampara,0,2009-04-27,4,2009,18,2009-05-04,32.6625,25.7375,39.7,30.575,2.1,2.1,13.9375,37.4,1,12.3729166666667,348,1091
Ampara,2,2009-05-04,5,2009,19,2009-05-11,32.75,26.275,40.0375,31.6125,2,2,11.9375,36,51,12.41875,346,1091
Ampara,2,2009-05-11,5,2009,20,2009-05-18,33.2,26.275,40.5625,32.0625,20.2,20.2,11.5875,33.8,1,12.45,345,1092
Ampara,9,2009-05-18,5,2009,21,2009-05-25,32.25,25.85,38.8,30.5875,39.1,39.1,12.5375,42.8,63,12.48125,345,1093
Ampara,17,2009-05-25,5,2009,22,2009-06-01,33.3375,26.175,39.4625,30.85,4.9,4.9,13.8625,46.1,51,12.50625,345,1095
Ampara,9,2009-06-01,6,2009,23,2009-06-08,34.45,25.8,40.2625,29.7875,1.1,1.1,13.35,41.4,2,12.525,345,1096
Ampara,5,2009-06-08,6,2009,24,2009-06-15,34.15,25.6625,40.2375,29.6625,5.6,5.6,12.4,37.4,2,12.5395833333333,346,1098
Ampara,18,2009-06-15,6,2009,25,2009-06-22,34.0125,25.9125,39.975,29.825,9.2,9.2,13.9375,39.2,51,12.5458333333333,347,1100
Ampara,28,2009-06-22,6,2009,26,2009-06-29,33.55,25.9875,39.4625,30.0375,18.2,18.2,13.4,44.3,61,12.5416666666667,349,1101
Ampara,15,2009-06-29,6,2009,27,2009-07-06,33.4625,26.225,38.075,30.3,6.2,6.2,11.975,45,2,12.5354166666667,350,1102
Ampara,12,2009-07-06,7,2009,28,2009-07-13,34.325,25.775,39.625,30.0125,1.4,1.4,10.675,38.9,1,12.5229166666667,352,1103
Ampara,17,2009-07-13,7,2009,29,2009-07-20,34.9375,25.925,39.05,29.45,6,6,13.3625,43.2,1,12.50625,353,1104
Ampara,4,2009-07-20,7,2009,30,2009-07-27,34.925,26.1375,40.05,30.375,3.3,3.3,11.6125,39.2,1,12.4729166666667,355,1103
Ampara,8,2009-07-27,7,2009,31,2009-08-03,33.875,26.15,39.15,30.1375,5.3,5.3,11.9375,40.7,51,12.4395833333333,356,1102
Ampara,2,2009-08-03,8,2009,32,2009-08-10,34.825,25.6,40.1875,29.1375,7.8,7.8,11.95,46.8,2,12.4125,356,1100
Ampara,5,2009-08-10,8,2009,33,2009-08-17,32.95,25.9375,38.75,30.9625,42.6,42.6,11.25,36.4,53,12.375,356,1098
Ampara,4,2009-08-17,8,2009,34,2009-08-24,30.875,24.9,35.9,28.775,39.3,39.3,15.975,54.4,51,12.3291666666667,356,1095
Ampara,7,2009-08-24,8,2009,35,2009-08-31,32.9875,25.075,39.55,29.4,11.5,11.5,10.55,42.5,51,12.28125,355,1092
Ampara,7,2009-08-31,8,2009,36,2009-09-07,33.35,25.7,38.4875,29.0875,22.8,22.8,15.15,45.7,63,12.2375,354,1089
Ampara,9,2009-09-07,9,2009,37,2009-09-14,33.2375,26.0125,39.45,30.625,5.1,5.1,13.625,41.8,51,12.19375,353,1085
Ampara,2,2009-09-14,9,2009,38,2009-09-21,32.5875,25.7625,39.3,31.075,23.7,23.7,9.8375,36,51,12.1458333333333,352,1081
Ampara,14,2009-09-21,9,2009,39,2009-09-28,33.125,25.2125,39.6625,29.7625,12.4,12.4,11.0875,38.5,1,12.0979166666667,351,1077
Ampara,2,2009-09-28,9,2009,40,2009-10-05,33.4125,25.2625,37.6,28.8625,9.3,9.3,16.7625,54,1,12.0541666666667,350,1074
Ampara,3,2009-10-05,10,2009,41,2009-10-12,33.175,24.7,39.025,29.1875,8.6,8.6,12.0875,37.8,1,12.0083333333333,350,1070
Ampara,12,2009-10-12,10,2009,42,2009-10-19,31.7375,24.525,37.5125,29.375,10.5,10.5,12.5,34.9,51,11.9604166666667,349,1067
Ampara,6,2009-10-19,10,2009,43,2009-10-26,31.8875,24.725,36.85,29.1375,0.6,0.6,14.7625,39.2,1,11.9145833333333,350,1064
Ampara,5,2009-10-26,10,2009,44,2009-11-02,29.2375,24.575,33.8,29.1,62.9,62.9,14.5875,40.3,61,11.8770833333333,350,1062
Ampara,4,2009-11-02,11,2009,45,2009-11-09,27.775,24.425,32.7875,28.5375,130.4,130.4,14.1,40.7,61,11.8375,351,1061
Ampara,8,2009-11-09,11,2009,46,2009-11-16,28.2875,24.3375,33.7875,29.05,75.7,75.7,11.825,37.4,61,11.8020833333333,352,1061
Ampara,12,2009-11-16,11,2009,47,2009-11-23,28.4375,23.7625,34.3625,28.5875,57,57,9.8,29.2,53,11.7708333333333,355,1061
Ampara,14,2009-11-23,11,2009,48,2009-11-30,28.275,23.5375,33.4,27.725,16.8,16.8,12.1375,38.5,51,11.7458333333333,357,1062
Ampara,12,2009-11-30,11,2009,49,2009-12-07,27.875,23.75,33.1875,28.1625,90.5,90.5,12.425,33.8,61,11.725,361,1064
Ampara,18,2009-12-07,12,2009,50,2009-12-14,27.1,23.7875,31.3,27.425,112.8,112.8,16.65,50,61,11.7104166666667,364,1067
Ampara,9,2009-12-14,12,2009,51,2009-12-21,27.75,23.7,32.8625,27.9125,54.1,54.1,14.8375,39.6,61,11.7020833333333,368,1070
Ampara,1,2009-12-21,12,2009,52,2009-12-28,26.8125,23.55,31.2625,27.7,110.5,110.5,13.1375,36.4,63,11.7,371,1073
Ampara,37,2009-12-28,12,2009,53,2010-01-04,27.35,23.6,30.375,26.925,16.6,16.6,17.3375,43.9,51,11.7041666666667,374,1077
Ampara,38,2010-01-04,1,2010,1,2010-01-11,27.9875,23,31.5375,25.9,7.1,7.1,14.85,41.4,51,11.7166666666667,377,1080
Ampara,36,2010-01-11,1,2010,2,2010-01-18,27.7875,23.3375,32.4125,27.3625,39.5,39.5,14,39.6,61,11.7416666666667,379,1084
Ampara,11,2010-01-18,1,2010,3,2010-01-25,27.575,22.7625,30.5875,25.7625,14.3,14.3,16.75,41.4,2,11.7708333333333,380,1087
Ampara,14,2010-01-25,1,2010,4,2010-02-01,27.2,23.3875,31.025,26.925,76,76,16.75,44.3,51,11.79375,381,1089
Ampara,61,2010-02-01,2,2010,5,2010-02-08,27.375,23.6,30.1125,26.525,11.2,11.2,19.5875,45.7,51,11.8354166666667,381,1091
Ampara,20,2010-02-08,2,2010,6,2010-02-15,28.175,23.8625,31.925,27.325,4.5,4.5,15.95,44.3,51,11.875,380,1093
Ampara,38,2010-02-15,2,2010,7,2010-02-22,28.9875,23.3875,33.9375,27.4125,15,15,14.2125,41.8,2,11.9145833333333,379,1094
Ampara,18,2010-02-22,2,2010,8,2010-03-01,29.75,22.825,34.975,26.6375,0,0,13.175,35.6,2,11.9604166666667,376,1094
Ampara,17,2010-03-01,3,2010,9,2010-03-08,30.75,23.4125,35.7875,27.2625,0.5,0.5,14.7625,36,2,12.00625,374,1094
Ampara,14,2010-03-08,3,2010,10,2010-03-15,30.7,24.85,35.6375,29.5,5.6,5.6,15.2,42.8,51,12.05,371,1094
Ampara,23,2010-03-15,3,2010,11,2010-03-22,31.0375,24.2375,36.4625,28.75,3.1,3.1,15.1375,41,51,12.1041666666667,367,1093
Ampara,13,2010-03-22,3,2010,12,2010-03-29,31.8125,24.875,38.075,29.9625,20.3,20.3,12,34.2,61,12.1458333333333,364,1093
Ampara,15,2010-03-29,3,2010,13,2010-04-05,32.1,25.5,39.2,30.9,12.1,12.1,11.45,31.3,51,12.1895833333333,361,1092
Ampara,7,2010-04-05,4,2010,14,2010-04-12,31.075,25.6625,37.5,31.1125,17.8,17.8,11.225,33.8,51,12.2375,357,1091
Ampara,5,2010-04-12,4,2010,15,2010-04-19,31.8,25.725,38.925,31.45,18.4,18.4,11.0625,33.5,51,12.2791666666667,354,1091
Ampara,8,2010-04-19,4,2010,16,2010-04-26,32.0875,26,39.8375,31.35,21.8,21.8,11.075,31.3,53,12.3270833333333,351,1091
Ampara,13,2010-04-26,4,2010,17,2010-05-03,31.45,25.55,38.825,31.0625,52.1,52.1,10.5125,32,63,12.36875,348,1091
Ampara,6,2010-05-03,5,2010,18,2010-05-10,31.6,25.85,38.9875,31.5,29.9,29.9,10.9,31,53,12.4083333333333,347,1091
Ampara,3,2010-05-10,5,2010,19,2010-05-17,31.9125,26.3375,39.2,32.15,11,11,10.9125,30.6,51,12.44375,345,1092
Ampara,0,2010-05-17,5,2010,20,2010-05-24,31.85,26.125,37.2,30.125,31.8,31.8,18.6875,56.5,61,12.475,345,1093
Ampara,3,2010-05-24,5,2010,21,2010-05-31,33.3,26.2875,40.775,31.3875,8.7,8.7,12.5125,34.9,51,12.5,345,1095
Ampara,4,2010-05-31,5,2010,22,2010-06-07,33.7125,26.45,40.8625,31.5875,10.4,10.4,12.2875,38.9,51,12.5208333333333,345,1096
Ampara,0,2010-06-07,6,2010,23,2010-06-14,32.6375,26.0625,38.325,30.55,36.5,36.5,13.3,46.1,3,12.5333333333333,346,1098
Ampara,2,2010-06-14,6,2010,24,2010-06-21,32.225,25.875,38.55,30.3,50.8,50.8,15.175,43.2,63,12.54375,347,1100
